date,수온 (C),DO (mg/L),DO (%),pH,염도,ORP,탁도
2022-10-30 20:09:47,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:45,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:42,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:41,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:40,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:39,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:38,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:36,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:35,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:09:34,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2022-10-30 20:01:34,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:33,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:32,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:31,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:22,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:21,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:11,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:10,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:09,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:06,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:05,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:05,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:04,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:03,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:02,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:01,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:01:00,1.00,2.00,3.00,4.00,5.00,6.00,7.00
2022-10-30 20:00:23,2.00,2.00,2.00,2.00,2.00,2.00,2.00
2022-10-30 20:00:23,2.00,2.00,2.00,2.00,2.00,2.00,2.00
2022-10-30 20:00:22,2.00,2.00,2.00,2.00,2.00,2.00,2.00
2022-10-30 20:00:17,2.00,2.00,2.00,2.00,2.00,2.00,2.00
2022-10-30 19:14:34,1.11,,,,,,
2022-10-30 19:14:33,1.11,,,,,,
2022-10-30 18:48:55,1.00,1.00,1.00,1.00,,,
2022-10-30 18:48:13,2.00,1.00,1.00,1.00,1.00,1.00,1.00
